ExtremeAbsMode1-Value,ExtremeAbsMode1-freq,ExtremeAbsMode2-Value,ExtremeAbsMode2-freq,ExtremeAbsMode3-Value,ExtremeAbsMode3-freq,ExtremeAbsMode4-Value,ExtremeAbsMode4-freq,ExtremeAbsMode5-Value,ExtremeAbsMode5-freq,ExtremeDiffMode1-Value,ExtremeDiffMode1-freq,ExtremeDiffMode2-Value,ExtremeDiffMode2-freq,ExtremeDiffMode3-Value,ExtremeDiffMode3-freq,ExtremeDiffMode4-Value,ExtremeDiffMode4-freq,ExtremeDiffMode5-Value,ExtremeDiffMode5-freq,ExtremeTrendMode1-Value,ExtremeTrendMode1-freq,ExtremeTrendMode2-Value,ExtremeTrendMode2-freq,ExtremeTrendMode3-Value,ExtremeTrendMode3-freq,ExtremeTrendMode4-Value,ExtremeTrendMode4-freq,ExtremeTrendMode5-Value,ExtremeTrendMode5-freq,ExtremePowerMode1-Value,ExtremePowerMode1-freq,ExtremePowerMode2-Value,ExtremePowerMode2-freq,ExtremePowerMode3-Value,ExtremePowerMode3-freq,ExtremePowerMode4-Value,ExtremePowerMode4-freq,ExtremePowerMode5-Value,ExtremePowerMode5-freq,ExtremePower2Mode1-Value,ExtremePower2Mode1-freq,ExtremePower2Mode2-Value,ExtremePower2Mode2-freq,ExtremePower2Mode3-Value,ExtremePower2Mode3-freq,ExtremePower2Mode4-Value,ExtremePower2Mode4-freq,ExtremePower2Mode5-Value,ExtremePower2Mode5-freq,ExpertResult
 0.130, 2.344, 0.066, 2.051,0,0,0,0,0,0, 0.087, 2.344, 0.033, 2.051,0,0,0,0,0,0, 0.130, 2.344, 0.066, 2.051,0,0,0,0,0,0, 0.310, 2.344, 0.156, 2.051,0,0,0,0,0,0, 0.564, 2.344, 0.293, 2.051,0,0,0,0,0,0,ESNormal
 0.477, 2.246, 0.340, 1.758, 0.336, 0.488, 0.319, 0.293,0,0, 0.344, 2.246, 0.168, 1.758, 0.155, 0.488, 0.134, 0.293,0,0, 0.477, 2.246, 0.340, 1.758, 0.336, 0.488, 0.319, 0.293,0,0, 1.578, 2.246, 0.547, 1.758,0,0,0,0,0,0, 2.068, 2.246, 1.183, 1.758, 0.909, 0.488,0,0,0,0,ESValid
 0.465, 2.148, 0.444, 1.855, 0.269, 1.465,0,0,0,0, 0.363, 2.148, 0.246, 1.855, 0.100, 1.465,0,0,0,0, 0.465, 2.148, 0.444, 1.855, 0.269, 1.465,0,0,0,0, 1.740, 2.148, 0.615, 1.465, 0.549, 1.855,0,0,0,0, 2.301, 2.148, 1.670, 1.465, 1.223, 1.855,0,0,0,0,ESValid
 0.522, 2.246, 0.311, 1.953,0,0,0,0,0,0, 0.381, 2.246, 0.128, 1.953,0,0,0,0,0,0, 0.522, 2.246, 0.311, 1.953,0,0,0,0,0,0, 2.080, 2.246, 0.453, 1.953,0,0,0,0,0,0, 2.624, 2.246, 1.267, 1.953,0,0,0,0,0,0,ESNormal
 0.701, 2.148, 0.601, 1.855,0,0,0,0,0,0, 0.554, 2.148, 0.418, 1.855,0,0,0,0,0,0, 0.701, 2.148, 0.601, 1.855,0,0,0,0,0,0, 2.298, 2.148, 0.748, 1.855,0,0,0,0,0,0, 3.417, 2.148, 1.386, 1.855,0,0,0,0,0,0,ESValid
 0.584, 2.441,0,0,0,0,0,0,0,0, 0.309, 2.441,0,0,0,0,0,0,0,0, 0.584, 2.441,0,0,0,0,0,0,0,0, 1.036, 2.637, 0.774, 1.953, 0.662, 2.441,0,0,0,0, 2.014, 2.441,0,0,0,0,0,0,0,0,ESNormal
 0.743, 2.734,0,0,0,0,0,0,0,0, 0.668, 2.734,0,0,0,0,0,0,0,0, 0.743, 2.734,0,0,0,0,0,0,0,0, 2.172, 2.734,0,0,0,0,0,0,0,0, 3.197, 2.734,0,0,0,0,0,0,0,0,ESIdeal
 0.412, 2.344, 0.256, 0.293, 0.242, 2.637, 0.239, 2.930, 0.219, 1.953, 0.232, 2.344, 0.162, 2.930, 0.100, 2.637, 0.054, 1.953, 0.048, 0.293, 0.412, 2.344, 0.256, 0.293, 0.242, 2.637, 0.239, 2.930, 0.219, 1.953, 0.566, 2.344, 0.550, 2.930, 0.310, 2.637,0,0,0,0, 1.605, 2.344, 0.900, 2.930, 0.757, 2.637, 0.604, 0.488, 0.551, 1.953,ESValid
 0.340, 0.391, 0.333, 0.781, 0.293, 1.758, 0.265, 0.586, 0.220, 2.246, 0.164, 1.758, 0.157, 0.781, 0.087, 0.391, 0.082, 2.246, 0.069, 1.172, 0.340, 0.391, 0.333, 0.781, 0.293, 1.758, 0.265, 0.586, 0.220, 2.246, 0.469, 1.758, 0.437, 0.781, 0.209, 2.539, 0.186, 2.246,0,0, 1.330, 1.758, 1.124, 0.781, 0.746, 0.586, 0.716, 2.539, 0.678, 2.246,ESWarning
 0.363, 1.953, 0.309, 0.586, 0.286, 0.391, 0.257, 0.781, 0.226, 0.977, 0.240, 1.953, 0.057, 0.586, 0.049, 0.781,0,0,0,0, 0.363, 1.953, 0.309, 0.586, 0.286, 0.391, 0.257, 0.781, 0.226, 0.977, 0.857, 1.953,0,0,0,0,0,0,0,0, 1.895, 1.953, 0.821, 0.586, 0.722, 1.367, 0.682, 0.781, 0.612, 0.977,ESWarning
 0.239, 0.391, 0.210, 1.270, 0.210, 0.684, 0.203, 0.879, 0.194, 1.855, 0.089, 1.270, 0.066, 1.660, 0.039, 4.492, 0.037, 1.855, 0.033, 2.734, 0.239, 0.391, 0.210, 1.270, 0.210, 0.684, 0.203, 0.879, 0.194, 1.855, 0.203, 1.270, 0.201, 1.660, 0.151, 4.492, 0.087, 3.613, 0.080, 0.879, 0.742, 2.734, 0.681, 1.855, 0.650, 3.223, 0.615, 1.270, 0.612, 1.660,ESNoise
 0.594, 2.734,0,0,0,0,0,0,0,0, 0.516, 2.734,0,0,0,0,0,0,0,0, 0.594, 2.734,0,0,0,0,0,0,0,0, 1.900, 2.734,0,0,0,0,0,0,0,0, 2.445, 2.734,0,0,0,0,0,0,0,0,ESIdeal
 0.121, 0.586, 0.112, 0.391, 0.085, 0.977, 0.064, 1.855,0,0, 0.043, 0.586, 0.037, 0.977, 0.026, 1.855,0,0,0,0, 0.121, 0.586, 0.112, 0.391, 0.085, 0.977, 0.064, 1.855,0,0, 0.203, 0.977, 0.155, 0.586, 0.078, 1.855,0,0,0,0, 0.502, 0.977, 0.463, 0.586, 0.302, 1.855, 0.281, 2.637, 0.182, 2.344,ESNoise
 0.276, 0.977, 0.272, 1.172, 0.211, 0.391, 0.211, 0.684, 0.151, 1.758, 0.101, 1.172, 0.067, 0.977, 0.033, 1.758, 0.031, 1.563, 0.024, 0.684, 0.276, 0.977, 0.272, 1.172, 0.211, 0.391, 0.211, 0.684, 0.151, 1.758, 0.376, 1.172, 0.172, 0.977,0,0,0,0,0,0, 1.027, 1.172, 0.780, 0.684, 0.721, 0.977, 0.393, 1.563, 0.389, 1.758,ESWarning
 0.048, 2.734,0,0,0,0,0,0,0,0, 0.029, 2.734,0,0,0,0,0,0,0,0, 0.048, 2.734,0,0,0,0,0,0,0,0, 0.416,25.781, 0.093, 2.734,0,0,0,0,0,0, 0.437,25.781, 0.274, 2.734, 0.146,24.316, 0.126,11.230, 0.114, 6.055,ESIdeal
 0.581, 2.441, 0.436, 2.637, 0.344, 0.391, 0.303, 1.953,0,0, 0.266, 2.441, 0.227, 0.391, 0.213, 2.637, 0.107, 1.953,0,0, 0.581, 2.441, 0.436, 2.637, 0.344, 0.391, 0.303, 1.953,0,0, 0.708, 2.637, 0.685, 2.441, 0.525, 1.953,0,0,0,0, 2.119, 2.441, 1.451, 2.637, 1.442, 1.953,0,0,0,0,ESValid
 0.438, 0.586, 0.412, 0.391, 0.269, 0.977, 0.233, 1.953, 0.232, 1.367, 0.132, 0.586, 0.063, 1.953, 0.055, 1.563, 0.036, 0.977, 0.031, 1.367, 0.438, 0.586, 0.412, 0.391, 0.269, 0.977, 0.233, 1.953, 0.232, 1.367, 0.561, 0.586, 0.162, 1.563, 0.138, 0.977,0,0,0,0, 1.851, 0.586, 1.233, 0.977, 0.807, 1.563, 0.750, 1.953, 0.640, 1.367,ESNoise
 0.393, 2.441, 0.268, 1.953, 0.225, 2.637, 0.197, 0.391,0,0, 0.191, 2.441, 0.144, 2.637, 0.103, 1.953, 0.051, 0.391,0,0, 0.393, 2.441, 0.268, 1.953, 0.225, 2.637, 0.197, 0.391,0,0, 0.798, 2.637, 0.455, 2.441, 0.311, 1.953,0,0,0,0, 1.650, 2.441, 1.003, 2.637, 0.992, 1.953, 0.449, 0.391,0,0,ESValid
 0.652, 0.391, 0.534, 0.684, 0.448, 1.074, 0.380, 1.465, 0.329, 1.855, 0.152, 0.684, 0.134, 0.391, 0.134, 1.074, 0.080, 1.855, 0.074, 1.465, 0.652, 0.391, 0.534, 0.684, 0.448, 1.074, 0.380, 1.465, 0.329, 1.855, 0.603, 0.684, 0.330, 1.855, 0.314, 1.074,0,0,0,0, 2.153, 1.074, 1.886, 0.684, 1.422, 1.855, 1.329, 1.465, 1.036, 0.391,ESNoise
 0.514, 2.344, 0.325, 2.637,0,0,0,0,0,0, 0.347, 2.344, 0.078, 2.637,0,0,0,0,0,0, 0.514, 2.344, 0.325, 2.637,0,0,0,0,0,0, 1.318, 2.344,0,0,0,0,0,0,0,0, 2.122, 2.344, 1.094, 2.637,0,0,0,0,0,0,ESValid
 0.253, 2.344, 0.161, 2.637, 0.143, 2.930,0,0,0,0, 0.170, 2.344, 0.080, 2.930,0,0,0,0,0,0, 0.253, 2.344, 0.161, 2.637, 0.143, 2.930,0,0,0,0, 0.626, 2.344, 0.368, 2.930,0,0,0,0,0,0, 1.052, 2.344, 0.592, 2.930, 0.553, 2.637,0,0,0,0,ESValid
 0.364, 0.391, 0.207, 0.977,0,0,0,0,0,0, 0.159, 0.391, 0.056, 0.977,0,0,0,0,0,0, 0.364, 0.391, 0.207, 0.977,0,0,0,0,0,0, 0.338, 0.391, 0.160, 0.977,0,0,0,0,0,0, 1.137, 0.391, 0.877, 0.977,0,0,0,0,0,0,ESNoise
 0.398, 2.148, 0.268, 2.734, 0.245, 0.781, 0.215, 2.344,0,0, 0.261, 2.148, 0.194, 0.781, 0.192, 2.734, 0.069, 2.344,0,0, 0.398, 2.148, 0.268, 2.734, 0.245, 0.781, 0.215, 2.344,0,0, 0.898, 2.148, 0.701, 2.734, 0.563, 0.781,0,0,0,0, 1.528, 2.148, 1.091, 2.734, 0.997, 0.781, 0.645, 2.344,0,0,ESValid
